### with data_file: scan_3d/new_energies/mirrored_energies.out
### with codedir (dir where code was executed): C:\Users\Christian Schneider\LRZ Sync+Share\Promotion\Forschungspraktika\David Bodesheim\RetroFit
### with len(delta_list) = 100, deltamin = 90.0, deltamax = 270.0
### alpha 	| R_NN 	| E_min 	| R_CuN 	| theta 	| delta 
-120.69999999999999	-2.000060317996099	--	--	--	--
-120.69999999999999	-1.8112661175227491	8.617629264381396	4.986739141667316	270.0	130.0
-120.69999999999999	-1.622471917049399	8.765875208659486	4.890780665458815	270.0	130.0
-120.69999999999999	-1.433677716576049	8.880369724512432	4.8252114052589725	270.0	131.8181818181818
-120.69999999999999	-1.244883516102699	8.931674599900434	4.804015903366651	270.0	135.45454545454544
-120.69999999999999	-1.056089315629349	8.983058625287196	4.7059100475851805	270.0	135.45454545454544
-120.69999999999999	-0.8672951151559989	9.038663977298512	4.60780419180371	270.0	135.45454545454544
-120.69999999999999	-0.6785009146826488	9.063843378345235	4.601572966390059	270.0	139.0909090909091
-120.69999999999999	-0.4897067142092988	9.094110260563674	4.501468431636018	270.0	139.0909090909091
-120.69999999999999	-0.30091251373594874	9.083473162609117	4.453478935954539	270.0	140.9090909090909
-120.69999999999999	-0.11211831326259869	9.08294073804725	4.408831882680872	270.0	142.72727272727272
-120.69999999999999	0.07667588721075136	9.05657250391393	4.367463016152299	270.0	144.54545454545456
-120.69999999999999	0.2654700876841014	8.968454129205451	4.263395712933984	270.0	144.54545454545456
-120.69999999999999	0.45426428815745146	8.926080731724996	4.223646155415429	270.0	146.36363636363637
-120.69999999999999	0.6430584886308015	8.85970450110338	4.1179696081834845	270.0	146.36363636363637
-120.69999999999999	0.8318526891041516	8.762450269282079	4.0794838248821925	270.0	148.1818181818182
-120.69999999999999	1.0206468895775016	8.605385273212065	4.04382824587998	270.0	150.0
-120.69999999999999	1.2094410900508517	8.44418655887211	3.934440031008404	270.0	150.0
-120.69999999999999	1.3982352905242017	8.329296785112922	3.825051816136827	270.0	150.0
-120.69999999999999	1.5870294909975518	8.17359970621219	3.7879410248574232	270.0	151.8181818181818
-120.69999999999999	1.7758236914709018	7.983882889408095	3.7532119646070057	270.0	153.63636363636363
-120.69999999999999	1.9646178919442518	7.765675716283007	3.720827712425365	270.0	155.45454545454544
-120.69999999999999	2.153412092417602	7.478784208962228	3.604434279825782	270.0	155.45454545454544
-120.69999999999999	2.3422062928909524	7.299813533362922	3.5715808063665446	270.0	157.27272727272725
-120.69999999999999	2.531000493364302	7.07354514965627	3.540767747230715	270.0	159.0909090909091
-120.69999999999999	2.7197946938376516	6.7442083138728135	3.4185360718929445	270.0	159.0909090909091
-120.69999999999999	2.908588894311002	6.458216186821838	3.386392726593722	270.0	160.9090909090909
-120.69999999999999	3.0973830947843526	6.2459299945722435	3.355917123215667	270.0	162.72727272727272
-120.69999999999999	3.286177295257702	5.976524582763767	3.2266827268127924	270.0	162.72727272727272
-120.69999999999999	3.474971495731052	5.625552373408177	3.1938065441934835	270.0	164.54545454545456
-120.69999999999999	3.6637656962044023	5.4118789254247615	3.1621054041311094	270.0	166.36363636363637
-120.69999999999999	3.852559896677753	5.182199644644575	3.131489642526677	270.0	168.1818181818182
-120.69999999999999	4.041354097151102	4.904439269906117	3.101864761239011	270.0	170.0
-120.69999999999999	4.230148297624452	4.696106631403266	3.0731293533863333	270.0	171.8181818181818
-120.69999999999999	4.4189424980978025	4.45933409866569	3.0451724675403953	270.0	173.63636363636363
-120.69999999999999	4.607736698571153	4.217485504942122	3.0178701953467804	270.0	175.45454545454544
-120.69999999999999	4.796530899044503	4.051350938475454	2.9910811709694545	270.0	177.27272727272725
-120.69999999999999	4.985325099517852	3.9149595084099484	2.9646405230645434	270.0	179.0909090909091
-120.69999999999999	5.174119299991203	3.7900733001504325	2.93835158813172	270.0	180.9090909090909
-120.69999999999999	5.362913500464553	3.687145949878219	2.911974321242323	270.0	182.72727272727272
-120.69999999999999	5.551707700937903	3.5641322603304832	2.8852087241966187	270.0	184.54545454545456
-120.69999999999999	5.740501901411252	3.4889024849753687	2.8576705623182774	270.0	186.36363636363637
-120.69999999999999	5.929296101884603	3.422023653331814	2.8288547927297487	270.0	188.1818181818182
-120.69999999999999	6.118090302357953	3.3483368912673908	2.7980787392928415	270.0	190.0
-120.69999999999999	6.306884502831303	3.5426647345472904	2.76439055294318	270.0	191.8181818181818
-120.69999999999999	6.495678703304653	3.746701366568974	2.726415361187097	270.0	193.63636363636363
-120.69999999999999	6.684472903778004	4.023697417586368	2.6820832343441996	270.0	195.45454545454544
-120.69999999999999	6.873267104251354	4.535624136894829	2.6281174367386	270.0	197.27272727272725
-120.69999999999999	7.062061304724703	5.406216472336134	3.085773168737832	270.0	200.9090909090909
-120.69999999999999	7.250855505198053	5.805578201164179	3.1074032521513164	270.0	202.72727272727272
-120.69999999999999	7.439649705671402	6.234685143383551	3.1485861248082645	270.0	204.54545454545456
-120.69999999999999	7.628443906144754	6.895858281595454	3.2400949718289405	270.0	206.36363636363637
-120.69999999999999	7.817238106618103	8.382990764016322	3.565164724997644	270.0	208.1818181818182
-120.69999999999999	8.006032307091452	--	--	--	--
-120.69999999999999	8.194826507564805	14.870960337644204	2.5757556000231	270.0	211.8181818181818
-120.69999999999999	8.383620708038155	12.834887141464549	2.75960831273844	270.0	213.63636363636363
