### with data_file: scan_3d/new_energies/mirrored_energies.out
### with codedir (dir where code was executed): C:\Users\Christian Schneider\LRZ Sync+Share\Promotion\Forschungspraktika\David Bodesheim\RetroFit
### with len(delta_list) = 100, deltamin = 90.0, deltamax = 270.0
### alpha 	| R_NN 	| E_min 	| R_CuN 	| theta 	| delta 
-119.78999999999996	-2.088799661409495	--	--	--	--
-119.78999999999996	-1.9004049524854072	8.628223503759926	4.9798815708089545	270.0	130.0
-119.78999999999996	-1.7120102435613194	8.775946170892441	4.884261807930983	270.0	130.0
-119.78999999999996	-1.5236155346372318	8.886729142131134	4.817731582431698	270.0	131.8181818181818
-119.78999999999996	-1.335220825713144	8.933002185544508	4.794225824406999	270.0	135.45454545454544
-119.78999999999996	-1.146826116789056	8.988367171872211	4.6965440515642785	270.0	135.45454545454544
-119.78999999999996	-0.9584314078649685	9.045101159486888	4.598862278721559	270.0	135.45454545454544
-119.78999999999996	-0.7700366989408807	9.065740462866543	4.590339157832296	270.0	139.0909090909091
-119.78999999999996	-0.5816419900167928	9.097540628959443	4.49072252030781	270.0	139.0909090909091
-119.78999999999996	-0.393247281092705	9.079210760239114	4.441829505422447	270.0	140.9090909090909
-119.78999999999996	-0.2048525721686172	9.073895412551853	4.396272125269932	270.0	142.72727272727272
-119.78999999999996	-0.01645786324452958	9.045157176226367	4.353981578577807	270.0	144.54545454545456
-119.78999999999996	0.17193684567955803	8.957545383390714	4.250512545692311	270.0	144.54545454545456
-119.78999999999996	0.3603315546036461	8.906419607326098	4.209866965532616	270.0	146.36363636363637
-119.78999999999996	0.5487262635277337	8.854477031381359	4.104830482998716	270.0	146.36363636363637
-119.78999999999996	0.7371209724518217	8.74490643243525	4.065475368607504	270.0	148.1818181818182
-119.78999999999996	0.9255156813759093	8.573997679346073	4.0289306809972745	270.0	150.0
-119.78999999999996	1.113910390299997	8.42930987470915	3.9202757249039673	270.0	150.0
-119.78999999999996	1.302305099224085	8.315190238164844	3.8116207688106596	270.0	150.0
-119.78999999999996	1.4906998081481726	8.166699083660392	3.773700601907381	270.0	151.8181818181818
-119.78999999999996	1.6790945170722607	7.960684563087392	3.7381407968846854	270.0	153.63636363636363
-119.78999999999996	1.8674892259963483	7.7264154040100195	3.704899591885794	270.0	155.45454545454544
-119.78999999999996	2.055883934920436	7.458615549369347	3.5894103657619048	270.0	155.45454545454544
-119.78999999999996	2.244278643844524	7.271556096806363	3.5557361479488776	270.0	157.27272727272725
-119.78999999999996	2.432673352768611	7.02855952689335	3.5240715643596308	270.0	159.0909090909091
-119.78999999999996	2.621068061692699	6.702042234543566	3.4028863480878977	270.0	159.0909090909091
-119.78999999999996	2.809462770616787	6.437190934114372	3.3699372586544407	270.0	160.9090909090909
-119.78999999999996	2.9978574795408752	6.2098760905053245	3.3386219824136405	270.0	162.72727272727272
-119.78999999999996	3.1862521884649624	5.93659187530348	3.308886649062996	270.0	164.54545454545456
-119.78999999999996	3.3746468973890504	5.6359232126874	3.1769536072649105	270.0	164.54545454545456
-119.78999999999996	3.5630416063131385	5.406218296858437	3.1444404163344326	270.0	166.36363636363637
-119.78999999999996	3.7514363152372256	5.161140367515275	3.1129727516364984	270.0	168.1818181818182
-119.78999999999996	3.9398310241613137	4.866499304872214	3.0824497722197224	270.0	170.0
-119.78999999999996	4.128225733085402	4.645393748865666	3.0527627818812055	270.0	171.8181818181818
-119.78999999999996	4.316620442009489	4.394641082576791	3.023792377290581	270.0	173.63636363636363
-119.78999999999996	4.505015150933577	4.154778928117733	2.9954047630501077	270.0	175.45454545454544
-119.78999999999996	4.693409859857665	4.036993178851417	2.9674469043748757	270.0	177.27272727272725
-119.78999999999996	4.881804568781752	3.8840271135858595	2.93974003425951	270.0	179.0909090909091
-119.78999999999996	5.07019927770584	3.7443207783360126	2.912070791893353	270.0	180.9090909090909
-119.78999999999996	5.258593986629928	3.628678012832522	2.884178885400848	270.0	182.72727272727272
-119.78999999999996	5.446988695554016	3.4914581254834114	2.855739542589216	270.0	184.54545454545456
-119.78999999999996	5.6353834044781035	3.4045926819121584	2.826337950119411	270.0	186.36363636363637
-119.78999999999996	5.8237781134021915	3.3495647692746386	2.7954310245573724	270.0	188.1818181818182
-119.78999999999996	6.012172822326279	3.4156097362234568	2.76228849034824	270.0	190.0
-119.78999999999996	6.200567531250367	3.615851935061441	2.7258988571159115	270.0	191.8181818181818
-119.78999999999996	6.388962240174455	3.826707009693776	2.6848131640446877	270.0	193.63636363636363
-119.78999999999996	6.577356949098543	4.117862144715058	2.6368724217646338	270.0	195.45454545454544
-119.78999999999996	6.765751658022631	4.7610482388833715	2.9977647748641707	270.0	199.0909090909091
-119.78999999999996	6.954146366946717	5.055659464492968	2.9943351652963104	270.0	200.9090909090909
-119.78999999999996	7.142541075870805	5.436571357374912	2.9929848637041063	270.0	202.72727272727272
-119.78999999999996	7.330935784794893	5.818094306735775	2.994751938651733	270.0	204.54545454545456
-119.78999999999996	7.519330493718981	6.381912633558493	3.002706376562323	270.0	206.36363636363637
-119.78999999999996	7.707725202643069	7.023308920906868	3.0315481518728573	270.0	208.1818181818182
-119.78999999999996	7.896119911567157	10.056456584307522	4.11440907386073	270.0	210.0
-119.78999999999996	8.084514620491245	9.494496566092334	2.8986053939126037	270.0	211.8181818181818
-119.78999999999996	8.27290932941533	10.369111206939792	2.936195058461027	270.0	213.63636363636363
-119.78999999999996	8.46130403833942	10.800974928505378	4.465499304711056	270.0	213.63636363636363
-119.78999999999996	8.649698747263507	10.17104065771639	3.960560846469215	270.0	215.45454545454544
-119.78999999999996	8.838093456187597	10.00611252280736	3.7142776538344138	270.0	217.27272727272725
-119.78999999999996	9.026488165111683	10.255386703910126	3.5702575670572183	270.0	219.0909090909091
-119.78999999999996	9.214882874035773	10.7837409858783	4.173346218197365	270.0	219.0909090909091
-119.78999999999996	9.40327758295986	10.759465047648016	3.9799041002350504	270.0	220.9090909090909
-119.78999999999996	9.591672291883945	10.973857906413043	3.845076727321291	270.0	222.72727272727272
-119.78999999999996	9.780067000808035	11.158004906143692	4.2761413240617605	270.0	222.72727272727272
-119.78999999999996	9.968461709732122	11.236814188008248	4.124856882174241	270.0	224.54545454545453
-119.78999999999996	10.156856418656211	11.40845171799954	4.50259259173155	270.0	224.54545454545453
-119.78999999999996	10.345251127580298	11.468676213599773	4.346927829423592	270.0	226.36363636363635
-119.78999999999996	10.533645836504387	11.57613440678378	4.683378528366959	270.0	226.36363636363635
-119.78999999999996	10.722040545428474	11.630911137979837	4.52934996325514	270.0	228.1818181818182
-119.78999999999996	10.91043525435256	11.689379640448735	4.832926617338411	270.0	228.1818181818182
-119.78999999999996	11.09882996327665	11.744097944815781	4.683593070844828	270.0	230.0
-119.78999999999996	11.287224672200736	11.769272334089774	4.960401911101076	270.0	230.0
-119.78999999999996	11.475619381124826	11.819001456452192	4.817297103831788	270.0	231.8181818181818
-119.78999999999996	11.664014090048912	11.90459962291952	4.699817943298105	270.0	233.63636363636363
-119.78999999999996	11.852408798972998	11.869282841042033	4.9357531141267525	270.0	233.63636363636363
-119.78999999999996	12.040803507897088	11.938932458818899	4.822731358683612	270.0	235.45454545454544
-119.78999999999996	12.229198216821175	12.036960004750654	4.728457894606371	270.0	237.27272727272728
-119.78999999999996	12.417592925745264	11.948233338646881	4.934761001736875	270.0	237.27272727272728
-119.78999999999996	12.60598763466935	12.021965032257084	4.844037187429394	270.0	239.0909090909091
-119.78999999999996	12.79438234359344	12.116258318859721	4.7677625069567116	270.0	240.9090909090909
-119.78999999999996	12.982777052517527	11.98752018323536	4.951704282322875	270.0	240.9090909090909
-119.78999999999996	13.171171761441613	12.043912535455432	4.878491006730345	270.0	242.72727272727272
-119.78999999999996	13.359566470365703	12.114997126463027	4.816878971205141	270.0	244.54545454545453
-119.78999999999996	13.54796117928979	11.955196280209396	4.983437978687219	270.0	244.54545454545453
-119.78999999999996	13.736355888213879	11.982235185730447	4.924626815157933	270.0	246.36363636363635
-119.78999999999996	13.924750597137965	12.011387931529	4.8754504820065545	270.0	248.1818181818182
-119.78999999999996	14.113145306062052	12.049582377266226	4.834824424262933	270.0	250.0
-119.78999999999996	14.301540014986141	11.807100614099094	4.98169049533547	270.0	250.0
-119.78999999999996	14.489934723910228	11.777955377570425	4.943427886212808	270.0	251.8181818181818
-119.78999999999996	14.678329432834317	11.763121748467796	4.91260565287059	270.0	253.63636363636363
-119.78999999999996	14.866724141758404	11.780749922511568	4.888565679419081	270.0	255.45454545454544
-119.78999999999996	15.05511885068249	11.888579559302737	4.8707627070052855	270.0	257.27272727272725
-119.78999999999996	15.24351355960658	11.361091161053807	4.999211243670411	270.0	257.27272727272725
-119.78999999999996	15.431908268530666	11.363516763045558	4.983583659034972	270.0	259.0909090909091
-119.78999999999996	15.620302977454756	11.532992493905228	4.9736814810231085	270.0	260.9090909090909
-119.78999999999996	15.808697686378842	11.86304888808112	4.969163188596956	270.0	262.72727272727275
-119.78999999999996	15.997092395302928	12.155935936878167	4.969746371034028	270.0	264.5454545454545
-119.78999999999996	16.18548710422702	13.124663550396487	4.975199214741275	270.0	266.3636363636364
-119.78999999999996	16.373881813151105	14.181600234627513	4.985333677378563	270.0	268.1818181818182
-119.78999999999996	16.562276522075194	14.997763789804488	4.999999999999999	270.0	270.0
-116.15363636363632	-2.088799661409495	--	--	--	--
-116.15363636363632	-1.9004049524854072	8.675972065889558	4.9798815708089545	268.1818181818182	130.0
-116.15363636363632	-1.7120102435613194	8.767411482946686	4.884261807930983	268.1818181818182	130.0
-116.15363636363632	-1.5236155346372318	8.875310283692222	4.788642045053011	268.1818181818182	130.0
-116.15363636363632	-1.335220825713144	8.998176598016851	4.7552054679213525	268.1818181818182	133.63636363636363
-116.15363636363632	-1.146826116789056	9.054152183026497	4.6965440515642785	268.1818181818182	135.45454545454544
-116.15363636363632	-0.9584314078649685	9.059300071722783	4.598862278721559	268.1818181818182	135.45454545454544
-116.15363636363632	-0.7700366989408807	9.152842139603552	4.543034274321063	268.1818181818182	137.27272727272728
-116.15363636363632	-0.5816419900167928	9.167318463130249	4.49072252030781	268.1818181818182	139.0909090909091
-116.15363636363632	-0.393247281092705	9.15684938717568	4.391105882783324	268.1818181818182	139.0909090909091
-116.15363636363632	-0.2048525721686172	9.14924770259324	4.341062151685405	268.1818181818182	140.9090909090909
-116.15363636363632	-0.01645786324452958	9.140661407398552	4.294223204316479	268.1818181818182	142.72727272727272
-116.15363636363632	0.17193684567955803	9.069099740403376	4.250512545692311	268.1818181818182	144.54545454545456
-116.15363636363632	0.3603315546036461	8.995279015406524	4.147043512806816	268.1818181818182	144.54545454545456
-116.15363636363632	0.5487262635277337	8.931899001258056	4.104830482998716	268.1818181818182	146.36363636363637
-116.15363636363632	0.7371209724518217	8.832993955112444	3.9997940004648163	268.1818181818182	146.36363636363637
-116.15363636363632	0.9255156813759093	8.721323027570667	3.958714062275948	268.1818181818182	148.1818181818182
-116.15363636363632	1.113910390299997	8.536164667272857	3.9202757249039673	268.1818181818182	150.0
-116.15363636363632	1.302305099224085	8.363874620476809	3.8116207688106596	268.1818181818182	150.0
-116.15363636363632	1.4906998081481726	8.232907131350613	3.773700601907381	268.1818181818182	151.8181818181818
-116.15363636363632	1.6790945170722607	8.055400272493582	3.7381407968846854	268.1818181818182	153.63636363636363
