### with codedir (dir where code was executed): C:\Users\Christian Schneider\LRZ Sync+Share\Promotion\Forschungspraktika\David Bodesheim\RetroFit
### with data_file: scan_3d/new_energies/mirrored_energies.out
### with guest_dir: xyz-files
### with len(delta_list) = 100, deltamin = 90.0, deltamax = 270.0
### name | alpha | R_NN | Ropt | thetaopt | deltaopt |Emin
12-DC_benzene	64.00693716580561	4.13438	2.2271962679638158	203.6485314170972	184.54545454545456	0.31835630492562417
cis-DCNE	72.7012772884027	4.36972	2.19260927628986	199.30136135579863	188.1818181818182	0.7231368245464083
DC-FURAN	72.96486022630937	4.55122	2.202004217601842	199.1695698868453	191.8181818181818	1.2859329344437633
DC-Thiophen	66.92954387603143	4.333	2.2175235945568885	202.18722806198429	188.1818181818182	0.6058951724592048
DCCButene	91.71212855576977	5.01632	2.267943810647046	189.7959357221151	200.9090909090909	5.2987035366194215
DCCPentene	68.47896014220262	4.4242	2.221414636900267	201.4125199288987	190.0	0.7934318977247359
DCCPropene	121.82598940379157	5.7717	4.748900389542052	174.7390052981042	224.54545454545453	11.681990264880007
DC_2-methyl-propene	116.7060689977262	4.43257000001128	2.215562368940205	177.29896550113688	190.0	1.2909162184411802
DC_methane	115.38395568587129	4.43098	2.216674090100297	177.96002215706434	190.0	1.265945020312982
DC_Pentadiene	68.47896014220262	4.4242	2.221414636900267	201.4125199288987	190.0	0.7934318977247359
Dimethyl-DCNE	66.08213115867798	4.0774	2.208388603737239	202.610934420661	182.72727272727272	0.3106357991382329
TC-PYRAZINE-meta	118.19603655202226	6.76064	4.267911953939394	176.55398172398884	230.0	12.09711844004549
TC-PYRAZINE-ortho	61.803963447977736	4.12744	2.231654617767004	204.75001827601113	184.54545454545456	0.3393947057744939
TCCBD-DB	95.80759787059529	5.13232	2.2712171463218556	187.74820106470236	202.72727272727272	6.794044652474728
TCCBD-SB	84.19240212940473	5.0816	2.2106701095123995	193.55579893529762	200.9090909090909	5.482107063758426
TCNB-meta	116.9249478136682	6.89328	3.5945174287204953	177.18952609316588	230.0	15.884039630060144
TCNB-ortho	63.0750521863318	4.1144	2.24003169001968	204.1144739068341	184.54545454545456	0.3386152677514602
TCNE-cis	63.44031934623812	4.0952	2.252366029532823	203.93184032688092	184.54545454545456	0.3487530308753932
TCNE-geminal	116.55968065376187	4.43606	2.2131221759787856	177.37215967311906	190.0	1.289266710107559
TCNQ-geminal	118.42253125155935	4.44736	2.205221264645503	176.4407343742203	190.0	1.3276726963319985
