### with data_file: scan_3d/new_energies/mirrored_energies.out
### with codedir (dir where code was executed): C:\Users\Christian Schneider\LRZ Sync+Share\Promotion\Forschungspraktika\David Bodesheim\RetroFit
### with len(delta_list) = 100, deltamin = 90.0, deltamax = 270.0
### alpha 	| R_NN 	| E_min 	| R_CuN 	| theta 	| delta 
-68.69600000000003	-2.3986991462523957	--	--	--	--
-68.69600000000003	-2.2406973446141576	9.026592864580438	4.999981000865211	270.0	135.45454545454544
-68.69600000000003	-2.08269554297592	8.743118380829328	4.986643755689288	270.0	131.8181818181818
-68.69600000000003	-1.924693741337682	8.679918993858978	4.946419471856343	270.0	130.0
-68.69600000000003	-1.7666919396994438	8.806667301188433	4.864376253118932	270.0	130.0
-68.69600000000003	-1.608690138061206	8.960174893259621	4.782333034381523	270.0	130.0
-68.69600000000003	-1.4506883364229681	9.045500538041397	4.598636650408757	270.0	135.45454545454544
-68.69600000000003	-1.29268653478473	9.08669090352993	4.462273236931638	270.0	140.9090909090909
-68.69600000000003	-1.1346847331464922	9.057710594358193	4.36880709454395	270.0	144.54545454545456
-68.69600000000003	-0.9766829315082544	8.990804570780561	4.289791458295323	270.0	144.54545454545456
-68.69600000000003	-0.8186811298700163	8.907059344960896	4.210315315594709	270.0	146.36363636363637
-68.69600000000003	-0.6606793282317784	8.814146570630111	4.142913094070681	270.0	150.0
-68.69600000000003	-0.5026775265935406	8.647219605663686	4.06368416999712	270.0	150.0
-68.69600000000003	-0.3446757249553025	8.496717233523539	3.9844552459235576	270.0	150.0
-68.69600000000003	-0.18667392331706445	8.383287583539147	3.9321047336605455	270.0	153.63636363636363
-68.69600000000003	-0.028672121678826823	8.180460081745947	3.8715087895476388	270.0	155.45454545454544
-68.69600000000003	0.12932967995941125	7.939471041199825	3.7913374135515476	270.0	155.45454545454544
-68.69600000000003	0.2873314815976493	7.741861207124173	3.711166037555458	270.0	155.45454545454544
-68.69600000000003	0.44533328323588695	7.509239069876784	3.652858021240947	270.0	157.27272727272725
-68.69600000000003	0.603335084874125	7.226369926539989	3.597487878360839	270.0	159.0909090909091
-68.69600000000003	0.7613368865123631	6.965494772841003	3.5449232127837123	270.0	160.9090909090909
-68.69600000000003	0.9193386881506007	6.68868721779481	3.463036184301852	270.0	160.9090909090909
-68.69600000000003	1.0773404897888388	6.385455234513784	3.4123988939850163	270.0	162.72727272727272
-68.69600000000003	1.2353422914270769	6.096636965980105	3.364235958590313	270.0	164.54545454545456
-68.69600000000003	1.3933440930653145	5.832026552888093	3.3184414461695178	270.0	166.36363636363637
-68.69600000000003	1.5513458947035526	5.541082902006187	3.233982127355722	270.0	166.36363636363637
-68.69600000000003	1.7093476963417906	5.243346019388489	3.233576217142447	270.0	170.0
-68.69600000000003	1.8673494979800287	4.992372717212544	3.1468628763494726	270.0	170.0
-68.69600000000003	2.0253512996182668	4.7787341387110525	3.1063130130733327	270.0	171.8181818181818
-68.69600000000003	2.183353101256504	4.527369519738456	3.0676571734740468	270.0	173.63636363636363
