### with data_file: scan_3d/new_energies/mirrored_energies.out
### with codedir (dir where code was executed): C:\Users\Christian Schneider\LRZ Sync+Share\Promotion\Forschungspraktika\David Bodesheim\RetroFit
### with len(delta_list) = 100, deltamin = 90.0, deltamax = 270.0
### alpha 	| R_NN 	| E_min 	| R_CuN 	| theta 	| delta 
-120.0	-2.0002876382859744	--	--	--	--
-120.0	-1.811800348628092	8.625832455445575	4.981429278261615	270.0	130.0
-120.0	-1.6233130589702096	8.77367522607366	4.885731773301199	270.0	130.0
-120.0	-1.4348257693123272	8.885291201653757	4.819422859943542	270.0	131.8181818181818
-120.0	-1.2463384796544448	8.931742417812622	4.796448462821325	270.0	135.45454545454544
-120.0	-1.0578511899965624	8.987162583437154	4.698669335822203	270.0	135.45454545454544
-120.0	-0.8693639003386799	9.042582749061681	4.60089020882308	270.0	135.45454545454544
-120.0	-0.6808766106807975	9.064924988472361	4.592893698487785	270.0	139.0909090909091
-120.0	-0.4923893210229151	9.096760908058714	4.4931650602024495	270.0	139.0909090909091
-120.0	-0.3039020313650327	9.080180365287971	4.44447950081934	270.0	140.9090909090909
-120.0	-0.11541474170715027	9.07398666052169	4.399131002900179	270.0	142.72727272727272
-120.0	0.07307254795073215	9.047756871190193	4.357051803658225	270.0	144.54545454545456
-120.0	0.26155983760861456	8.960028811532876	4.253445460312518	270.0	144.54545454545456
-120.0	0.450047127266497	8.910897472342032	4.21300520681894	270.0	146.36363636363637
-120.0	0.6385344169243794	8.855667157088229	4.107821836651573	270.0	146.36363636363637
-120.0	0.8270217065822618	8.74890203755674	4.068665791553406	270.0	148.1818181818182
-120.0	1.0155089962401442	8.58114821528668	4.032324556092515	270.0	150.0
-120.0	1.2039962858980267	8.432697748648856	3.9235013686697138	270.0	150.0
-120.0	1.392483575555909	8.318401419767012	3.8146781812469124	270.0	150.0
-120.0	1.5809708652137915	8.16827031468748	3.776943062165133	270.0	151.8181818181818
-120.0	1.769458154871674	7.965967651463892	3.741573040655781	270.0	153.63636363636363
-120.0	1.9579454445295563	7.735357502070046	3.708527449320712	270.0	155.45454545454544
-120.0	2.1464327341874387	7.461599752805355	3.59283087788164	270.0	155.45454545454544
-120.0	2.3349200238453216	7.27799003299619	3.559343818482078	270.0	157.27272727272725
-120.0	2.5234073135032036	7.038802636803634	3.5278732420007746	270.0	159.0909090909091
-120.0	2.7118946031610855	6.711639069711926	3.406448164177429	270.0	159.0909090909091
-120.0	2.9003818928189684	6.441976150956882	3.373682420885309	270.0	160.9090909090909
-120.0	3.0888691824768513	6.218081262112247	3.3425580221274847	270.0	162.72727272727272
-120.0	3.2773564721347332	5.948550630367119	3.3130224137576856	270.0	164.54545454545456
-120.0	3.465843761792615	5.633564450940499	3.1807866685900126	270.0	164.54545454545456
-120.0	3.654331051450498	5.407505561008263	3.148457550691745	270.0	166.36363636363637
-120.0	3.842818341108381	5.165928407325267	3.117182754201881	270.0	168.1818181818182
-120.0	4.031305630766263	4.8751231333270555	3.0868628372978097	270.0	170.0
-120.0	4.219792920424145	4.656917309033643	3.057390706787283	270.0	171.8181818181818
-120.0	4.408280210082028	4.409335941455663	3.0286488120038246	270.0	173.63636363636363
-120.0	4.596767499739911	4.156431132841102	3.000505517247825	270.0	175.45454545454544
-120.0	4.785254789397793	4.040251445053393	2.972810326947064	270.0	177.27272727272725
-120.0	4.973742079055675	3.8910426054377507	2.9453874850085797	270.0	179.0909090909091
-120.0	5.162229368713557	3.754690407745272	2.918027231161936	270.0	180.9090909090909
-120.0	5.35071665837144	3.6419190306994604	2.8904736151483448	270.0	182.72727272727272
-120.0	5.539203948029322	3.5079011346427045	2.8624071420605692	270.0	184.54545454545456
-120.0	5.727691237687204	3.4236476111765226	2.8334194600675424	270.0	186.36363636363637
-120.0	5.916178527345087	3.3477621758375298	2.8029754430712526	270.0	188.1818181818182
-120.0	6.10466581700297	3.400448262304088	2.7703546413530873	270.0	190.0
-120.0	6.293153106660852	3.599388306825854	2.734557652175779	270.0	191.8181818181818
